genre_id,genre,no_of_tracks
1,acoustic,1000
2,afrobeat,1000
3,alt-rock,1000
4,alternative,1000
5,ambient,1000
6,anime,1000
7,black-metal,1000
8,bluegrass,1000
9,blues,1000
10,brazil,1000
11,breakbeat,1000
12,british,1000
13,cantopop,1000
14,chicago-house,1000
15,children,1000
16,chill,1000
17,classical,1000
18,club,1000
19,comedy,1000
20,country,1000
21,dance,1000
22,dancehall,1000
23,death-metal,1000
24,deep-house,1000
25,detroit-techno,1000
26,disco,1000
27,disney,1000
28,drum-and-bass,1000
29,dub,1000
30,dubstep,1000
31,edm,1000
32,electro,1000
33,electronic,1000
34,emo,1000
35,folk,1000
36,forro,1000
37,french,1000
38,funk,1000
39,garage,1000
40,german,1000
41,gospel,1000
42,goth,1000
43,grindcore,1000
44,groove,1000
45,grunge,1000
46,guitar,1000
47,happy,1000
48,hard-rock,1000
49,hardcore,1000
50,hardstyle,1000
51,heavy-metal,1000
52,hip-hop,1000
53,honky-tonk,1000
54,house,1000
55,idm,1000
56,indian,1000
57,indie,1000
58,indie-pop,1000
59,industrial,1000
60,iranian,1000
61,j-dance,1000
62,j-idol,1000
63,j-pop,1000
64,j-rock,1000
65,jazz,1000
66,k-pop,1000
67,kids,1000
68,latin,1000
69,latino,1000
70,malay,1000
71,mandopop,1000
72,metal,1000
73,metalcore,1000
74,minimal-techno,1000
75,mpb,1000
76,new-age,1000
77,opera,1000
78,pagode,1000
79,party,1000
80,piano,1000
81,pop,1000
82,pop-film,1000
83,power-pop,1000
84,progressive-house,1000
85,psych-rock,1000
86,punk,1000
87,punk-rock,1000
88,r-n-b,1000
89,reggae,1000
90,reggaeton,1000
91,rock,1000
92,rock-n-roll,1000
93,rockabilly,1000
94,romance,1000
95,sad,1000
96,salsa,1000
97,samba,1000
98,sertanejo,1000
99,show-tunes,1000
100,singer-songwriter,1000
101,ska,1000
102,sleep,1000
103,songwriter,1000
104,soul,1000
105,spanish,1000
106,study,1000
107,swedish,1000
108,synth-pop,1000
109,tango,1000
110,techno,1000
111,trance,1000
112,trip-hop,1000
113,turkish,1000
114,world-music,1000
