genre_id,genre,popularity_desc,avg_popularity,explicit_rate,tempo_min,tempo_max,tempo_range,avg_danceability,danceability,no_of_tracks
1,acoustic,just another genre,42.48,5.0,53.84,204.96,151.12,0.55,normal danceability,1000
2,afrobeat,just another genre,24.4,2.0,56.5,220.08,163.58,0.67,normal danceability,1000
3,alt-rock,just another genre,33.94,6.0,52.4,215.51,163.11,0.53,normal danceability,1000
4,alternative,just another genre,24.34,16.0,52.4,205.53,153.13,0.56,normal danceability,1000
5,ambient,just another genre,44.19,0.0,0.0,213.85,213.85,0.37,normal danceability,1000
6,anime,just another genre,48.77,6.0,38.28,203.99,165.71,0.54,normal danceability,1000
7,black-metal,just another genre,22.45,13.0,51.44,200.78,149.34,0.3,normal danceability,1000
8,bluegrass,just another genre,25.68,0.0,63.96,205.86,141.9,0.53,normal danceability,1000
9,blues,just another genre,31.19,1.0,45.86,243.37,197.51,0.57,normal danceability,1000
10,brazil,just another genre,44.67,9.0,50.45,206.64,156.19,0.56,normal danceability,1000
11,breakbeat,just another genre,20.12,5.0,63.95,219.69,155.74,0.65,normal danceability,1000
12,british,just another genre,43.8,4.0,52.0,206.38,154.38,0.5,normal danceability,1000
13,cantopop,just another genre,34.74,0.0,58.98,207.72,148.74,0.55,normal danceability,1000
14,chicago-house,just another genre,12.34,2.0,62.45,216.56,154.11,0.77,Party worthy,1000
15,children,just another genre,35.05,0.0,50.0,210.02,160.02,0.72,Party worthy,1000
16,chill,heavily popular genre,53.65,17.0,45.66,208.0,162.34,0.66,normal danceability,1000
17,classical,just another genre,13.06,0.0,35.93,213.85,177.92,0.38,normal danceability,1000
18,club,just another genre,33.34,8.0,59.48,213.78,154.3,0.6,normal danceability,1000
19,comedy,just another genre,24.63,66.0,35.39,202.59,167.2,0.58,normal danceability,1000
20,country,just another genre,17.03,3.0,48.72,203.99,155.27,0.56,normal danceability,1000
21,dance,just another genre,22.69,17.0,72.5,213.93,141.43,0.69,normal danceability,1000
22,dancehall,just another genre,33.47,30.0,62.4,219.57,157.17,0.73,Party worthy,1000
23,death-metal,just another genre,32.17,25.0,59.64,201.02,141.38,0.37,normal danceability,1000
24,deep-house,just another genre,44.81,2.0,82.02,210.1,128.08,0.71,Party worthy,1000
25,detroit-techno,just another genre,11.17,1.0,64.13,201.94,137.81,0.72,Party worthy,1000
26,disco,just another genre,33.52,1.0,50.73,207.27,156.54,0.68,normal danceability,1000
27,disney,just another genre,27.54,0.0,46.33,220.52,174.19,0.46,normal danceability,1000
28,drum-and-bass,just another genre,26.66,3.0,74.93,184.02,109.09,0.54,normal danceability,1000
29,dub,just another genre,40.04,7.0,67.8,200.05,132.25,0.58,normal danceability,1000
30,dubstep,just another genre,42.32,10.0,67.92,205.9,137.98,0.52,normal danceability,1000
31,edm,just another genre,35.03,11.0,73.74,213.93,140.19,0.65,normal danceability,1000
32,electro,just another genre,36.08,15.0,61.66,203.97,142.31,0.65,normal danceability,1000
33,electronic,just another genre,44.32,12.0,63.05,203.97,140.92,0.65,normal danceability,1000
34,emo,just another genre,48.13,46.0,52.44,208.95,156.51,0.6,normal danceability,1000
35,folk,just another genre,38.01,1.0,45.86,200.09,154.23,0.56,normal danceability,1000
36,forro,just another genre,41.83,2.0,62.0,199.36,137.36,0.65,normal danceability,1000
37,french,just another genre,41.07,22.0,50.8,215.15,164.35,0.65,normal danceability,1000
38,funk,just another genre,32.32,30.0,49.21,207.27,158.06,0.68,normal danceability,1000
39,garage,just another genre,40.93,10.0,48.58,211.94,163.36,0.48,normal danceability,1000
40,german,just another genre,26.75,13.0,41.86,200.07,158.21,0.52,normal danceability,1000
41,gospel,just another genre,41.64,0.0,52.13,206.18,154.05,0.47,normal danceability,1000
42,goth,just another genre,28.91,7.0,62.38,200.49,138.11,0.48,normal danceability,1000
43,grindcore,just another genre,14.62,15.0,45.1,210.96,165.86,0.27,normal danceability,1000
44,groove,just another genre,37.83,10.0,50.89,203.55,152.66,0.58,normal danceability,1000
45,grunge,just another genre,49.59,7.0,51.32,206.07,154.75,0.46,normal danceability,1000
46,guitar,just another genre,29.53,0.0,0.0,205.94,205.94,0.54,normal danceability,1000
47,happy,just another genre,21.72,13.0,74.95,205.03,130.08,0.55,normal danceability,1000
48,hard-rock,just another genre,42.78,5.0,45.86,203.79,157.93,0.48,normal danceability,1000
49,hardcore,just another genre,36.1,32.0,49.3,206.25,156.95,0.55,normal danceability,1000
50,hardstyle,just another genre,26.62,10.0,74.85,200.07,125.22,0.54,normal danceability,1000
51,heavy-metal,just another genre,26.23,8.0,60.99,202.08,141.09,0.43,normal danceability,1000
52,hip-hop,just another genre,37.76,32.0,63.0,214.02,151.02,0.74,Party worthy,1000
53,honky-tonk,just another genre,16.36,0.0,52.67,208.43,155.76,0.57,normal danceability,1000
54,house,just another genre,34.16,11.0,74.98,213.93,138.95,0.67,normal danceability,1000
55,idm,just another genre,15.77,1.0,48.0,218.88,170.88,0.53,normal danceability,1000
56,indian,just another genre,49.54,2.0,46.59,200.01,153.42,0.59,normal danceability,1000
57,indie,just another genre,38.9,8.0,50.73,207.97,157.24,0.59,normal danceability,1000
58,indie-pop,just another genre,40.66,11.0,50.73,207.97,157.24,0.6,normal danceability,1000
59,industrial,just another genre,31.04,24.0,51.83,202.04,150.21,0.53,normal danceability,1000
